Source,Target,Weight
Samurai Hormone The Animation,Shimai Ningyou,1.0
Shoujo Ramune,Shimai Ningyou,1.0
Kijoku: Princess Double Kari,Miyazaki Maya Daizukan,1.0
Kijoku: Princess Double Kari,Heisei Jogakuen Kagai Lesson,1.0
Kijoku: Princess Double Kari,Isekai Kita node Sukebe Skill de Zenryoku Ouka Shiyou to Omou The Animation,1.0
Kijoku: Princess Double Kari,Shigokare: Ecchi na Joshi Daisei to Doki x2 Love Lesson!! The Animation,1.0
Kijoku: Princess Double Kari,In no Houteishiki,1.0
Kijoku: Princess Double Kari,Kininaru Roommate,1.0
Marshmallow★Imouto★Succubus★,Isekai Kita node Sukebe Skill de Zenryoku Ouka Shiyou to Omou The Animation,1.0
Marshmallow★Imouto★Succubus★,Kekkai,1.0
Marshmallow★Imouto★Succubus★,Jashin Shoukan: Inran Kyonyuu Oyako Ikenie Gishiki,1.0
Marshmallow★Imouto★Succubus★,Mashou no Nie 3,1.0
Juusenki L-Gaim III: Full Metal Soldier,Megami Kouhosei Special Curriculum,1.0
Ghiblies,Tanaka-kun wa Kyou mo Kedaruge,1.0
Doraemon Movie 14: Nobita to Buriki no Labyrinth,Anju to Zushioumaru,1.0
Doraemon Movie 05: Nobita no Makai Daibouken,Kikansha Yaemon: D51 no Daibouken,1.0
Doraemon Movie 05: Nobita no Makai Daibouken,Kuerlei Xiang Li,1.0
Doraemon Movie 27: Nobita no Shin Makai Daibouken - 7-nin no Mahoutsukai,Doraemon Movie 36: Shin Nobita no Nippon Tanjou,1.0
Sukeban Deka,Kyokujitsu no Kantai,1.0
Vexille: 2077 Nihon Sakoku,Roboteuwang Sseonsyakeu,1.0
Tennis no Ouji-sama: Zenkoku Taikai-hen - Semifinal,Judo-bu Monogatari,1.0
Chikan Monogatari,Love Colon,1.0
Chikan Monogatari,Inyoku Tokkyuu Zetsurinou,1.0
Chikan Monogatari,Yakin Byoutou Specials,1.0
Chikan Monogatari,Majo wa Kekkyoku Sono Kyaku to... The Animation,1.0
Chikan Monogatari,Ano Ko to Ii Koto,1.0
Chikan Monogatari,Hyoudou Ibuki: Kanpeki Ibuki Kaichou ga Kousoku Do M!? na Wake,1.0
Hana no Joshi Announcer: Newscaster Etsuko,Shiiku x Kanojo: Tenshi no Kousoku-hen,1.0
Hana no Joshi Announcer: Newscaster Etsuko,Soushisouai Note The Animation,1.0
Hana no Joshi Announcer: Newscaster Etsuko,Nee Summer!,1.0
Kininaru Roommate,Kijoku: Princess Double Kari,1.0
In no Houteishiki,Kijoku: Princess Double Kari,1.0
Heisei Jogakuen Kagai Lesson,Kijoku: Princess Double Kari,1.0
Miyazaki Maya Daizukan,Kijoku: Princess Double Kari,1.0
Shigokare: Ecchi na Joshi Daisei to Doki x2 Love Lesson!! The Animation,Kijoku: Princess Double Kari,1.0
Isekai Kita node Sukebe Skill de Zenryoku Ouka Shiyou to Omou The Animation,Kijoku: Princess Double Kari,1.0
Isekai Kita node Sukebe Skill de Zenryoku Ouka Shiyou to Omou The Animation,Marshmallow★Imouto★Succubus★,1.0
Mini Skirt Gakuen,Classical Sex-Zone,1.0
Mini Skirt Gakuen,Masaru Ashita no Yukinojou 2,1.0
Mini Skirt Gakuen,Aoi Taiken,1.0
Mini Skirt Gakuen,"Marriage Blue: ""Konyakusha ga Iru no ni, Doushite Konna Otoko ni......""",1.0
Mini Skirt Gakuen,Tenshi no Habataki Jun,1.0
Mini Skirt Gakuen,Donburi Kazoku,1.0
Mini Skirt Gakuen,Shikiyoku Infinite,1.0
Orchid★Emblem,Donburi Kazoku,1.0
Orchid★Emblem,Detective File 1: Kindan no Ai,1.0
Orchid★Emblem,Kijutsushi x Majutsushi: Osaka Tanteibu no Jikenbo,1.0
Orchid★Emblem,Issho ni Ecchi,1.0
Orchid★Emblem,Mujintou Monogatari XX,1.0
Orchid★Emblem,Nudist Beach ni Shuugaku Ryokou de!! The Animation,1.0
Mashou no Nie 3,Marshmallow★Imouto★Succubus★,1.0
Jashin Shoukan: Inran Kyonyuu Oyako Ikenie Gishiki,Marshmallow★Imouto★Succubus★,1.0
Daishikkin Helena,Chikan Juunin-tai The Animation,1.0
Daishikkin Helena,"Rinkan Gakuen: Yamete! ...Okaasan, Minaide!",1.0
Daishikkin Helena,Injuu Onna Kyoushi,1.0
Daishikkin Helena,Toshoshitsu no Kanojo: Seiso na Kimi ga Ochiru made - The Animation,1.0
Daishikkin Helena,Harem Time The Animation,1.0
Daishikkin Helena,Choisuji,1.0
Daishikkin Helena,Stringendo: Angel-tachi no Private Lesson,1.0
Daishikkin Helena,Imouto to Sono Yuujin ga Ero Sugite Ore no Kokan ga Yabai,1.0
Daishikkin Helena,Rennyuu Tales The Animation,1.0
Discode: Ijou Seiai,Anehame: Ore no Hatsukoi ga Jisshi na Wake ga Nai,1.0
Discode: Ijou Seiai,Ane Chijo♥Max Heart,1.0
Discode: Ijou Seiai,Violence Gekiga Shin David no Hoshi: Inma Densetsu,1.0
Shin Reyon Densetsu: Mou Hitori no Flair,Anehame: Ore no Hatsukoi ga Jisshi na Wake ga Nai,1.0
Shin Reyon Densetsu: Mou Hitori no Flair,Shujii no Inbou,1.0
Shin Reyon Densetsu: Mou Hitori no Flair,Enkou Shoujo: Rikujoubu Yukki no Baai The Animation,1.0
Shin Reyon Densetsu: Mou Hitori no Flair,Fault!! Service: Aratanaru Rival,1.0
Shin Reyon Densetsu: Mou Hitori no Flair,Soikano: Gyutto Dakishimete - The Animation,1.0
Shin Reyon Densetsu: Mou Hitori no Flair,Zero Sum Game: Sex Crime,1.0
Natural Vacation The Animation,Anehame: Ore no Hatsukoi ga Jisshi na Wake ga Nai,1.0
Natural Vacation The Animation,Valkyrie Hazard,1.0
Mako-chan Kaihatsu Nikki,Anehame: Ore no Hatsukoi ga Jisshi na Wake ga Nai,1.0
Kininaru Kimochi,Netokano,1.0
Kininaru Kimochi,Gakuen Saimin Reido,1.0
Kininaru Kimochi,Bitch Gakuen ga Seijun na Hazu ga Nai!!? The Animation,1.0
Kininaru Kimochi,Ojousama wa H ga Osuki: The Animation,1.0
Kininaru Kimochi,Princess Lover! OVA,1.0
Honoo no Haramase Tenkousei,Netokano,1.0
Honoo no Haramase Tenkousei,Majuu Jouka Shoujo Utea,1.0
Leatherman,One: Kagayaku Kisetsu e - True Stories,1.0
Injuu Daikessen,One: Kagayaku Kisetsu e - True Stories,1.0
You Bishoujo Miruku-chan,One: Kagayaku Kisetsu e - True Stories,1.0
You Bishoujo Miruku-chan,Shinsei: Futanari Idol - Dekatama-kei!,1.0
You Bishoujo Miruku-chan,Baku Ane 2: Otouto Ippai Shibocchau zo! The Animation,1.0
Super Erotic Anime,One: Kagayaku Kisetsu e - True Stories,1.0
Ikenai Koto The Animation,One: Kagayaku Kisetsu e - True Stories,1.0
Allargando The Animation,One: Kagayaku Kisetsu e - True Stories,1.0
Allargando The Animation,Natsumushi The Animation,1.0
Ero Manga! H mo Manga mo Step-up♪,One: Kagayaku Kisetsu e - True Stories,1.0
Kyonyuu Elf Oyako Saimin,One: Kagayaku Kisetsu e - True Stories,1.0
Mi-da-ra,White Blue,1.0
Mi-da-ra,Eroriman 2,1.0
Mi-da-ra,Papa Love: Papa to Icha Ero Shitai Musume-tachi to Hitotsu Yane no Shita de,1.0
Seika Jogakuin Kounin Sao Ojisan,Eroriman 2,1.0
Seika Jogakuin Kounin Sao Ojisan,Soikano: Gyutto Dakishimete - The Animation,1.0
Seika Jogakuin Kounin Sao Ojisan,Ooedo Forty Eight,1.0
Seika Jogakuin Kounin Sao Ojisan,Renseijutsushi Colette no H na Sakusei Monogatari,1.0
Seika Jogakuin Kounin Sao Ojisan,Roshutsu-kei Mahou Joshi Daisei Christhea,1.0
Donburi Kazoku,Mini Skirt Gakuen,1.0
Donburi Kazoku,Orchid★Emblem,1.0
Masaru Ashita no Yukinojou 2,Mini Skirt Gakuen,1.0
Aoi Taiken,Mini Skirt Gakuen,1.0
Tenshi no Habataki Jun,Mini Skirt Gakuen,1.0
"Marriage Blue: ""Konyakusha ga Iru no ni, Doushite Konna Otoko ni......""",Mini Skirt Gakuen,1.0
Classical Sex-Zone,Mini Skirt Gakuen,1.0
Shikiyoku Infinite,Mini Skirt Gakuen,1.0
Kijutsushi x Majutsushi: Osaka Tanteibu no Jikenbo,Orchid★Emblem,1.0
Detective File 1: Kindan no Ai,Orchid★Emblem,1.0
Mujintou Monogatari XX,Orchid★Emblem,1.0
Issho ni Ecchi,Orchid★Emblem,1.0
Nudist Beach ni Shuugaku Ryokou de!! The Animation,Orchid★Emblem,1.0
Cleavage,J* Fuuzoku Gakuensai,1.0
Cleavage,Maid Ane,1.0
Stringendo: Angel-tachi no Private Lesson,Daishikkin Helena,1.0
Choisuji,Daishikkin Helena,1.0
Chikan Juunin-tai The Animation,Daishikkin Helena,1.0
"Rinkan Gakuen: Yamete! ...Okaasan, Minaide!",Daishikkin Helena,1.0
Injuu Onna Kyoushi,Daishikkin Helena,1.0
Harem Time The Animation,Daishikkin Helena,1.0
Rennyuu Tales The Animation,Daishikkin Helena,1.0
Imouto to Sono Yuujin ga Ero Sugite Ore no Kokan ga Yabai,Daishikkin Helena,1.0
Toshoshitsu no Kanojo: Seiso na Kimi ga Ochiru made - The Animation,Daishikkin Helena,1.0
Yunyun☆Paradise,Mejoku,1.0
Princess Knight☆Catue,Mejoku,1.0
True Blue: Gaiden,Jokutsuma,1.0
True Blue: Gaiden,Koinaka: Koinaka de Hatsukoi x Nakadashi Sexual Life The Animation,1.0
Panda no Daibouken,Chuang Tang Tu,1.0
Anne no Nikki,Blue Thermal,1.0
Anne no Nikki,Beotkkotnamu Kokkiri Sup,1.0
Anne no Nikki,Gokiburi-tachi no Tasogare,1.0
Omoigumo,Blue Thermal,1.0
Omoigumo,Yi Mao Suoyou,1.0
Omoigumo,Daqiao yi Quan,1.0
Gokiburi-tachi no Tasogare,Anne no Nikki,1.0
Beotkkotnamu Kokkiri Sup,Anne no Nikki,1.0
Blue Thermal,Anne no Nikki,1.0
Blue Thermal,Omoigumo,1.0
Septem Charm Magical Kanan: SP Summer Camp,Soukan Yuugi 2,1.0
Septem Charm Magical Kanan: SP Summer Camp,Himitsu no Kichi,1.0
Septem Charm Magical Kanan: SP Summer Camp,Kitsune Musume no Ecchi na Oyado,1.0
Septem Charm Magical Kanan: SP Summer Camp,Kowaremono: Risa The Animation,1.0
Saimin Jutsu Zero,Kowaremono: Risa The Animation,1.0
Saimin Jutsu Zero,Wagaya no Liliana-san The Animation,1.0
Saimin Jutsu Zero,Boku ni Sexfriend ga Dekita Riyuu,1.0
Saimin Jutsu Zero,Houkago Initiation,1.0
Zero Sum Game: Sex Crime,Ero Konbini Tenchou,1.0
Zero Sum Game: Sex Crime,Shin Reyon Densetsu: Mou Hitori no Flair,1.0
Hitou Meguri Kakure Yu,Ero Konbini Tenchou,1.0
Hitou Meguri Kakure Yu,Chicchana Onaka,1.0
Hitou Meguri Kakure Yu,Ura Jutaijima,1.0
Hitou Meguri Kakure Yu,Heartful Maman The Animation,1.0
Hitou Meguri Kakure Yu,JK to Inkou Kyoushi 4 feat. Ero Giin-sensei,1.0
Hitou Meguri Kakure Yu,Oyome-sama Honey Days♥,1.0
Ore wa Kanojo wo Shinjiteru!,Ero Konbini Tenchou,1.0
Ore wa Kanojo wo Shinjiteru!,Yuuwaku Countdown: Akira,1.0
Ore wa Kanojo wo Shinjiteru!,PeroPero☆Teacher,1.0
Ore wa Kanojo wo Shinjiteru!,Otoko no Ko Ojousama,1.0
Ore wa Kanojo wo Shinjiteru!,Valkyrie Hazard,1.0
Shujii no Inbou,Shin Reyon Densetsu: Mou Hitori no Flair,1.0
Fault!! Service: Aratanaru Rival,Shin Reyon Densetsu: Mou Hitori no Flair,1.0
Enkou Shoujo: Rikujoubu Yukki no Baai The Animation,Shin Reyon Densetsu: Mou Hitori no Flair,1.0
Soikano: Gyutto Dakishimete - The Animation,Shin Reyon Densetsu: Mou Hitori no Flair,1.0
Soikano: Gyutto Dakishimete - The Animation,Seika Jogakuin Kounin Sao Ojisan,1.0
Soikano: Gyutto Dakishimete - The Animation,Sex Friend Osananajimi: Shojo to Doutei wa Hazukashii tte Minna ga Iu kara - The Animation,1.0
Soikano: Gyutto Dakishimete - The Animation,Boku to Nurse no Kenshuu Nisshi The Animation,1.0
Soikano: Gyutto Dakishimete - The Animation,Tsumamigui The Animation Chance.0: Watashi wo Check Shite Miru?,1.0
Anehame: Ore no Hatsukoi ga Jisshi na Wake ga Nai,Shin Reyon Densetsu: Mou Hitori no Flair,1.0
Anehame: Ore no Hatsukoi ga Jisshi na Wake ga Nai,Discode: Ijou Seiai,1.0
Anehame: Ore no Hatsukoi ga Jisshi na Wake ga Nai,Natural Vacation The Animation,1.0
Anehame: Ore no Hatsukoi ga Jisshi na Wake ga Nai,Mako-chan Kaihatsu Nikki,1.0
Yagami-kun no Katei no Jijou,Onosaka Konishi no O+K 2.5-jigen Animation,1.0
Yuuwaku Countdown: Akira,Ana no Oku no Ii Tokoro,1.0
Yuuwaku Countdown: Akira,Naoko no Tropic Angel: Hyouryuu,1.0
Yuuwaku Countdown: Akira,Reijoku no Yakata,1.0
Yuuwaku Countdown: Akira,Ore wa Kanojo wo Shinjiteru!,1.0
Otoko no Ko Ojousama,Ore wa Kanojo wo Shinjiteru!,1.0
PeroPero☆Teacher,Ore wa Kanojo wo Shinjiteru!,1.0
Ero Konbini Tenchou,Ore wa Kanojo wo Shinjiteru!,1.0
Ero Konbini Tenchou,Zero Sum Game: Sex Crime,1.0
Ero Konbini Tenchou,Hitou Meguri Kakure Yu,1.0
Valkyrie Hazard,Ore wa Kanojo wo Shinjiteru!,1.0
Valkyrie Hazard,Natural Vacation The Animation,1.0
Tengen Toppa Gurren Lagann: Parallel Works,Psychedelic Afternoon,1.0
Tengen Toppa Gurren Lagann: Parallel Works,Konkon Beats,1.0
Tengen Toppa Gurren Lagann: Parallel Works,I Wanna,1.0
Tengen Toppa Gurren Lagann: Parallel Works,Otomo Shimasu,1.0
Tengen Toppa Gurren Lagann: Parallel Works,Love to Live By,1.0
Tengen Toppa Gurren Lagann: Parallel Works,Kabocha no Oji-san,1.0
Tengen Toppa Gurren Lagann: Parallel Works,Unmei,1.0
Tengen Toppa Gurren Lagann: Parallel Works,Streaming Heart,1.0
Tengen Toppa Gurren Lagann: Parallel Works,Egao no Hanataba,1.0
Tengen Toppa Gurren Lagann: Parallel Works,Utopia,1.0
Tengen Toppa Gurren Lagann: Parallel Works,Shikisai Kajou no Diary Music,1.0
Tengen Toppa Gurren Lagann: Parallel Works,Haruka,1.0
Agitation!,Konkon Beats,1.0
Agitation!,Chunchun World: Ogenki Taisou,1.0
Agitation!,Jumper!,1.0
Agitation!,Cleaning Switch,1.0
Agitation!,UnAlive,1.0
Agitation!,Watashi no Ningyou,1.0
Agitation!,Internet Overdose,1.0
Agitation!,Konayuki,1.0
Agitation!,Watashi no Nyanko,1.0
Agitation!,Game of Dice,1.0
Agitation!,Issho ni Utaou! Suku & Iku no Uta,1.0
Agitation!,Setsuna no Uzu,1.0
Agitation!,Yaranakya Ikenai Koto Bakari,1.0
Agitation!,Minami no Shima no Hanayome-san,1.0
Agitation!,WONDER LiGHT,1.0
Agitation!,Omoide Onigiri,1.0
Agitation!,Festive!,1.0
Datsugoku,Konkon Beats,1.0
Datsugoku,Kazaguruma (1996),1.0
Datsugoku,Gunjou Sanka,1.0
Datsugoku,Mr.,1.0
Datsugoku,Melt (2022),1.0
Datsugoku,"Nonbiri to,",1.0
Datsugoku,Kamisama Boku wa,1.0
Datsugoku,Betsu Sekai,1.0
Datsugoku,Kangaroo wa Doko ni Itta no ka,1.0
Datsugoku,Ienai feat. asmi,1.0
Datsugoku,Pizza,1.0
Kako ni Torawareteiru,Konkon Beats,1.0
Kako ni Torawareteiru,Deko Boko Friends Uta: Dekoboko Dance,1.0
Kako ni Torawareteiru,Yoru no Pierrot 360°,1.0
Kako ni Torawareteiru,Chiisana Yume,1.0
Kako ni Torawareteiru,Holy Shitto,1.0
Kako ni Torawareteiru,I Can't Control Myself,1.0
Kako ni Torawareteiru,Felicia,1.0
Kako ni Torawareteiru,MELtin' 17,1.0
Kako ni Torawareteiru,Baby Tayo Dong-yo 3,1.0
Kako ni Torawareteiru,Nee yo na,1.0
Kako ni Torawareteiru,Yaranakya Ikenai Koto Bakari,1.0
Kako ni Torawareteiru,Ohayou Crayon,1.0
Kako ni Torawareteiru,Hakken,1.0
Kako ni Torawareteiru,PenPen,1.0
Kako ni Torawareteiru,Jidousha ni Natta Kame no Uta,1.0
Kako ni Torawareteiru,Ad Meliora,1.0
Kako ni Torawareteiru,Dainouteki na Rendezvous,1.0
Kako ni Torawareteiru,Berserk (Music),1.0
Kako ni Torawareteiru,Senro wa Tsuzuku yo Dokomademo,1.0
Kako ni Torawareteiru,Chunchun World: Magic Carnival,1.0
Kako ni Torawareteiru,Moffuri Mofu☆Mofu Omajinai Dance,1.0
